method,solution,cut_value,execution_time,trial_seed,quality,graph_name,exact_optimum,schema_version
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,0.013911724090576172,2950,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,0.013597965240478516,2753,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,0.01380300521850586,7167,1.0,R12,16,1
Classical SA (Metropolis),"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,0.013456106185913086,5017,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,0.013388872146606445,1593,1.0,R12,16,1
Classical SA (Metropolis),"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,0.015017032623291016,3432,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,0.01380610466003418,4872,1.0,R12,16,1
Classical SA (Metropolis),"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,0.013460874557495117,5662,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,0.013487100601196289,2394,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,0.032119035720825195,2528,1.0,R12,16,1
Classical SA (Metropolis),"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,0.013247013092041016,5497,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,2.1002299785614014,2674,1.0,R12,16,1
Tabu Search,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,2.100330114364624,6940,1.0,R12,16,1
Tabu Search,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,2.0998167991638184,3522,1.0,R12,16,1
Tabu Search,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,2.0996649265289307,8155,1.0,R12,16,1
Tabu Search,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,2.1003057956695557,6248,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,2.0999069213867188,4197,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,2.0998198986053467,2340,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,2.0998899936676025,6725,1.0,R12,16,1
Tabu Search,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,2.0999321937561035,4291,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,2.100586175918579,2950,1.0,R12,16,1
Tabu Search,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,2.0998919010162354,2753,1.0,R12,16,1
Tabu Search,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,2.0996248722076416,7167,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,2.1130058765411377,5017,1.0,R12,16,1
Tabu Search,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,2.100034713745117,1593,1.0,R12,16,1
Tabu Search,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,2.1004679203033447,3432,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,2.0996479988098145,4872,1.0,R12,16,1
Tabu Search,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,2.100011110305786,5662,1.0,R12,16,1
Tabu Search,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,2.101004123687744,2394,1.0,R12,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,2.1033589839935303,2528,1.0,R12,16,1
Tabu Search,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,2.1003599166870117,5497,1.0,R12,16,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.017690181732177734,9447,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",21,0.01760101318359375,7937,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,0.017390966415405273,5877,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,0.017865896224975586,9612,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.017463207244873047,2319,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.017522811889648438,4456,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,0.017102718353271484,7309,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.01747608184814453,8246,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.017511844635009766,9572,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.01763296127319336,2474,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.017737150192260742,7177,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.01705026626586914,9971,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,0.017490863800048828,5861,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.017561912536621094,7229,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.017795085906982422,9580,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,0.017468929290771484,2268,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",21,0.01740860939025879,8542,1.0,R16,21,1
Classical SA (Metropolis),"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",21,0.01724076271057129,2974,1.0,R16,21,1
Classical SA (Metropolis),"[1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",21,0.017583847045898438,9700,1.0,R16,21,1
